pais_id;nom_pais;sag;nom_provincia;departamento;link;cant_acopi;cap_menos2;cap_2a5;cap_5a10;cap_mas10;codset
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;SAN MIGUEL;6760;1;1;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 13;2013;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;TRES DE FEBRERO;6840;6;4;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 12;2012;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;HURLINGHAM;6408;2;1;0;0;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 14;2014;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 15;2015;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 02;2002;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;MORON;6568;6;1;2;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 11;2011;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;ITUZAINGO;6410;1;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 01;2001;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 05;2005;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 03;2003;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 06;2006;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 10;2010;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 07;2007;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;MERLO;6539;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 04;2004;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;LA MATANZA;6427;11;4;2;2;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 09;2009;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;AVELLANEDA;6035;7;4;0;1;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CABA;COMUNA 08;2008;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;MARCOS PAZ;6525;5;2;2;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;LANUS;6434;10;4;1;3;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;GENERAL LAS HERAS;6329;8;8;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;LOMAS DE ZAMORA;6490;8;8;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;QUILMES;6658;11;4;4;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;ESTEBAN ECHEVERRIA;6260;4;4;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;EZEIZA;6270;1;0;1;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;BERAZATEGUI;6091;3;2;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;ALMIRANTE BROWN;6028;11;8;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;FLORENCIO VARELA;6274;8;5;2;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;ENSENADA;6245;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;BERISSO;6098;1;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;LA PLATA;6441;40;28;3;0;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;PRESIDENTE PERON;6648;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;CANUELAS;6134;19;11;0;0;5;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;SAN VICENTE;6778;7;3;1;1;0;1,03E+25
